date,hour,bdaddr
2022-06-19,17,27279
2022-06-19,18,24917
2022-06-19,19,18621
2022-06-19,20,14598
2022-06-19,21,11600
2022-06-19,22,8324
2022-06-19,23,7292
2022-06-20,0,5796
2022-06-20,1,5786
2022-06-20,2,5290
2022-06-20,3,5218
2022-06-20,4,4108
2022-06-20,5,5055
2022-06-20,6,6754
2022-06-20,7,12697
2022-06-20,8,16877
2022-06-20,9,15826
2022-06-20,10,18343
2022-06-20,11,20233
2022-06-20,12,22717
2022-06-20,13,21157
2022-06-20,14,21249
2022-06-20,15,20026
2022-06-20,16,21585
2022-06-20,17,22210
2022-06-20,18,21166
2022-06-20,19,16520
2022-06-20,20,10915
2022-06-20,21,9488
2022-06-20,22,7708
2022-06-20,23,6772
2022-06-21,0,5257
2022-06-21,1,4841
2022-06-21,2,4474
2022-06-21,3,4289
2022-06-21,4,3721
2022-06-21,5,4428
2022-06-21,6,6021
2022-06-21,7,12104
2022-06-21,8,17994
2022-06-21,9,17006
2022-06-21,10,18157
2022-06-21,11,18241
2022-06-21,12,25159
2022-06-21,13,20466
2022-06-21,14,18440
2022-06-21,15,17803
2022-06-21,16,19262
2022-06-21,17,20994
2022-06-21,18,20840
2022-06-21,19,19393
2022-06-21,20,15713
2022-06-21,21,11923
2022-06-21,22,9093
2022-06-21,23,7499
2022-06-22,0,5356
2022-06-22,1,5255
2022-06-22,2,4730
2022-06-22,3,4814
2022-06-22,4,3676
2022-06-22,5,4565
2022-06-22,6,6029
2022-06-22,7,12700
2022-06-22,8,20267
2022-06-22,9,16624
2022-06-22,10,20268
2022-06-22,11,22935
2022-06-22,12,26023
2022-06-22,13,25147
2022-06-22,14,25530
2022-06-22,15,24791
2022-06-22,16,24352
2022-06-22,17,29093
2022-06-22,18,25647
2022-06-22,19,22569
2022-06-22,20,15913
2022-06-22,21,12471
2022-06-22,22,10066
2022-06-22,23,7689
2022-06-23,0,6255
2022-06-23,1,4929
2022-06-23,2,4638
2022-06-23,3,4120
2022-06-23,4,3550
2022-06-23,5,4054
2022-06-23,6,5989
2022-06-23,7,12941
2022-06-23,8,18173
2022-06-23,9,19638
2022-06-23,10,21190
2022-06-23,11,25636
2022-06-23,12,28759
2022-06-23,13,27456
2022-06-23,14,24143
2022-06-23,15,23004
2022-06-23,16,23593
2022-06-23,17,24623
2022-06-23,18,25641
2022-06-23,19,21369
2022-06-23,20,15107
2022-06-23,21,11417
2022-06-23,22,8672
2022-06-23,23,7012
2022-06-24,0,5205
2022-06-24,1,4469
2022-06-24,2,4238
2022-06-24,3,4200
2022-06-24,4,3558
2022-06-24,5,4439
2022-06-24,6,5752
2022-06-24,7,12837
2022-06-24,8,22335
2022-06-24,9,19579
2022-06-24,10,23436
2022-06-24,11,24843
2022-06-24,12,29694
2022-06-24,13,27143
2022-06-24,14,25573
2022-06-24,15,27621
2022-06-24,16,28721
2022-06-24,17,30817
2022-06-24,18,29847
2022-06-24,19,24626
2022-06-24,20,15791
2022-06-24,21,12964
2022-06-24,22,11501
2022-06-24,23,10068
2022-06-25,0,8282
2022-06-25,1,6906
2022-06-25,2,5874
2022-06-25,3,5650
2022-06-25,4,4713
2022-06-25,5,5813
2022-06-25,6,6156
